Record_ID,Venue_ID,Venue_Name,Venue_Category,Subcategory,Latitude,Longitude,Street_Address,Neighborhood,Ward,Zip_Code,Distance_to_Metro,Nearest_Metro_Station,Metro_Line,Date,Day_of_Week,Month,Year,Is_Weekend,Is_Holiday,Season,Tourist_Season,Has_Braille_Signage,Has_Large_Print_Materials,Has_Audio_Tour,Has_Tactile_Maps,Guide_Dog_Friendly,Wheelchair_Accessible_Entrance,Has_Elevator,Wheelchair_Accessible_Restrooms,Average_Wait_Time,Reservations_Available,Noise_Level_Rating,Price_Range,Accessibility_Rating,Overall_Rating,Last_Verified_Date,Verified_By
REST_FOUNDING_FARMERS_2022-01-01,REST_FOUNDING_FARMERS,Founding Farmers,Restaurant,American,38.9017,-77.0405,,Foggy Bottom,2,20037,0.18,Metro_Center,Red,2022-01-01,Saturday,January,2022,true,false,Winter,Low,true,true,false,false,true,true,false,true,30,true,4,$$,52,4.0,2022-01-01,User_Review
REST_FOUNDING_FARMERS_2022-01-08,REST_FOUNDING_FARMERS,Founding Farmers,Restaurant,American,38.9017,-77.0405,,Foggy Bottom,2,20037,0.17,Metro_Center,Red,2022-01-08,Saturday,January,2022,true,false,Winter,Low,true,true,false,false,true,true,false,true,29,true,4,$$,54,4.1,,
REST_FOUNDING_FARMERS_2022-01-15,REST_FOUNDING_FARMERS,Founding Farmers,Restaurant,American,38.9017,-77.0405,,Foggy Bottom,2,20037,0.68,Metro_Center,Red,2022-01-15,Saturday,January,2022,true,false,Winter,Low,true,true,false,false,true,true,false,true,28,true,4,$$,52,4.0,,
REST_FOUNDING_FARMERS_2022-01-22,REST_FOUNDING_FARMERS,Founding Farmers,Restaurant,American,38.9017,-77.0405,,Foggy Bottom,2,20037,0.12,Metro_Center,Red,2022-01-22,Saturday,January,2022,true,false,Winter,Low,true,true,false,false,true,true,false,true,21,false,4,$$,55,4.1,,
REST_FOUNDING_FARMERS_2022-01-29,REST_FOUNDING_FARMERS,Founding Farmers,Restaurant,American,38.9017,-77.0405,,Foggy Bottom,2,20037,0.22,Metro_Center,Red,2022-01-29,Saturday,January,2022,true,false,Winter,Low,true,true,false,false,true,true,false,true,25,false,4,$$,61,4.2,,
REST_FOUNDING_FARMERS_2022-02-05,REST_FOUNDING_FARMERS,Founding Farmers,Restaurant,American,38.9017,-77.0405,,Foggy Bottom,2,20037,0.42,Metro_Center,Red,2022-02-05,Saturday,February,2022,true,false,Winter,Low,true,true,false,false,true,true,false,true,32,true,4,$$,57,4.1,,
REST_FOUNDING_FARMERS_2022-02-12,REST_FOUNDING_FARMERS,Founding Farmers,Restaurant,American,38.9017,-77.0405,,Foggy Bottom,2,20037,1.49,Metro_Center,Red,2022-02-12,Saturday,February,2022,true,false,Winter,Low,true,true,false,false,true,true,false,true,26,true,4,$$,54,4.1,,
REST_FOUNDING_FARMERS_2022-02-19,REST_FOUNDING_FARMERS,Founding Farmers,Restaurant,American,38.9017,-77.0405,,Foggy Bottom,2,20037,0.45,Metro_Center,Red,2022-02-19,Saturday,February,2022,true,false,Winter,Low,true,true,false,false,true,true,false,true,28,true,4,$$,60,4.2,,
REST_FOUNDING_FARMERS_2022-02-26,REST_FOUNDING_FARMERS,Founding Farmers,Restaurant,American,38.9017,-77.0405,,Foggy Bottom,2,20037,0.46,Metro_Center,Red,2022-02-26,Saturday,February,2022,true,false,Winter,Low,true,true,false,false,true,true,false,true,22,true,4,$$,58,4.2,,
REST_FOUNDING_FARMERS_2022-03-05,REST_FOUNDING_FARMERS,Founding Farmers,Restaurant,American,38.9017,-77.0405,,Foggy Bottom,2,20037,0.36,Metro_Center,Red,2022-03-05,Saturday,March,2022,true,false,Spring,Low,true,true,false,false,true,true,false,true,28,false,4,$$,52,4.0,,
REST_FOUNDING_FARMERS_2022-03-12,REST_FOUNDING_FARMERS,Founding Farmers,Restaurant,American,38.9017,-77.0405,,Foggy Bottom,2,20037,0.5,Metro_Center,Red,2022-03-12,Saturday,March,2022,true,false,Spring,Low,true,true,false,false,true,true,false,true,32,true,4,$$,60,4.2,,
REST_FOUNDING_FARMERS_2022-03-19,REST_FOUNDING_FARMERS,Founding Farmers,Restaurant,American,38.9017,-77.0405,,Foggy Bottom,2,20037,0.1,Metro_Center,Red,2022-03-19,Saturday,March,2022,true,false,Spring,Low,true,true,false,false,true,true,false,true,29,false,4,$$,52,4.0,,
REST_FOUNDING_FARMERS_2022-03-26,REST_FOUNDING_FARMERS,Founding Farmers,Restaurant,American,38.9017,-77.0405,,Foggy Bottom,2,20037,0.42,Metro_Center,Red,2022-03-26,Saturday,March,2022,true,false,Spring,Low,true,true,false,false,true,true,false,true,28,true,4,$$,57,4.1,,
REST_FOUNDING_FARMERS_2022-04-02,REST_FOUNDING_FARMERS,Founding Farmers,Restaurant,American,38.9017,-77.0405,,Foggy Bottom,2,20037,1.54,Metro_Center,Red,2022-04-02,Saturday,April,2022,true,false,Spring,Low,true,true,false,false,true,true,false,true,28,false,4,$$,56,4.1,,
REST_FOUNDING_FARMERS_2022-04-09,REST_FOUNDING_FARMERS,Founding Farmers,Restaurant,American,38.9017,-77.0405,,Foggy Bottom,2,20037,0.85,Metro_Center,Red,2022-04-09,Saturday,April,2022,true,false,Spring,Low,true,true,false,false,true,true,false,true,31,true,4,$$,60,4.2,,
REST_FOUNDING_FARMERS_2022-04-16,REST_FOUNDING_FARMERS,Founding Farmers,Restaurant,American,38.9017,-77.0405,,Foggy Bottom,2,20037,0.17,Metro_Center,Red,2022-04-16,Saturday,April,2022,true,false,Spring,Low,true,true,false,false,true,true,false,true,23,true,4,$$,58,4.2,,
REST_FOUNDING_FARMERS_2022-04-23,REST_FOUNDING_FARMERS,Founding Farmers,Restaurant,American,38.9017,-77.0405,,Foggy Bottom,2,20037,0.94,Metro_Center,Red,2022-04-23,Saturday,April,2022,true,false,Spring,Low,true,true,false,false,true,true,false,true,35,true,4,$$,53,4.1,,
REST_FOUNDING_FARMERS_2022-04-30,REST_FOUNDING_FARMERS,Founding Farmers,Restaurant,American,38.9017,-77.0405,,Foggy Bottom,2,20037,1.34,Metro_Center,Red,2022-04-30,Saturday,April,2022,true,false,Spring,Low,true,true,false,false,true,true,false,true,30,true,4,$$,53,4.1,,
REST_FOUNDING_FARMERS_2022-05-07,REST_FOUNDING_FARMERS,Founding Farmers,Restaurant,American,38.9017,-77.0405,,Foggy Bottom,2,20037,0.59,Metro_Center,Red,2022-05-07,Saturday,May,2022,true,false,Spring,High,true,true,false,false,true,true,false,true,23,true,4,$$,53,4.1,,
REST_FOUNDING_FARMERS_2022-05-14,REST_FOUNDING_FARMERS,Founding Farmers,Restaurant,American,38.9017,-77.0405,,Foggy Bottom,2,20037,0.33,Metro_Center,Red,2022-05-14,Saturday,May,2022,true,false,Spring,High,true,true,false,false,true,true,false,true,31,true,4,$$,55,4.1,,
REST_FOUNDING_FARMERS_2022-05-21,REST_FOUNDING_FARMERS,Founding Farmers,Restaurant,American,38.9017,-77.0405,,Foggy Bottom,2,20037,0.11,Metro_Center,Red,2022-05-21,Saturday,May,2022,true,false,Spring,High,true,true,false,false,true,true,false,true,30,true,4,$$,51,4.0,,
REST_FOUNDING_FARMERS_2022-05-28,REST_FOUNDING_FARMERS,Founding Farmers,Restaurant,American,38.9017,-77.0405,,Foggy Bottom,2,20037,0.73,Metro_Center,Red,2022-05-28,Saturday,May,2022,true,false,Spring,High,true,true,false,false,true,true,false,true,24,true,4,$$,55,4.1,,
REST_FOUNDING_FARMERS_2022-06-04,REST_FOUNDING_FARMERS,Founding Farmers,Restaurant,American,38.9017,-77.0405,,Foggy Bottom,2,20037,0.29,Metro_Center,Red,2022-06-04,Saturday,June,2022,true,false,Summer,High,true,true,false,false,true,true,false,true,27,true,4,$$,57,4.1,,
REST_FOUNDING_FARMERS_2022-06-11,REST_FOUNDING_FARMERS,Founding Farmers,Restaurant,American,38.9017,-77.0405,,Foggy Bottom,2,20037,0.7,Metro_Center,Red,2022-06-11,Saturday,June,2022,true,false,Summer,High,true,true,false,false,true,true,false,true,20,true,4,$$,56,4.1,,
REST_FOUNDING_FARMERS_2022-06-18,REST_FOUNDING_FARMERS,Founding Farmers,Restaurant,American,38.9017,-77.0405,,Foggy Bottom,2,20037,0.29,Metro_Center,Red,2022-06-18,Saturday,June,2022,true,false,Summer,High,true,true,false,false,true,true,false,true,32,false,4,$$,53,4.1,,
REST_FOUNDING_FARMERS_2022-06-25,REST_FOUNDING_FARMERS,Founding Farmers,Restaurant,American,38.9017,-77.0405,,Foggy Bottom,2,20037,0.98,Metro_Center,Red,2022-06-25,Saturday,June,2022,true,false,Summer,High,true,true,false,false,true,true,false,true,20,true,4,$$,60,4.2,,
REST_FOUNDING_FARMERS_2022-07-02,REST_FOUNDING_FARMERS,Founding Farmers,Restaurant,American,38.9017,-77.0405,,Foggy Bottom,2,20037,0.49,Metro_Center,Red,2022-07-02,Saturday,July,2022,true,false,Summer,High,true,true,false,false,true,true,false,true,34,true,4,$$,53,4.1,,
REST_FOUNDING_FARMERS_2022-07-09,REST_FOUNDING_FARMERS,Founding Farmers,Restaurant,American,38.9017,-77.0405,,Foggy Bottom,2,20037,0.26,Metro_Center,Red,2022-07-09,Saturday,July,2022,true,false,Summer,High,true,true,false,false,true,true,false,true,32,true,4,$$,59,4.2,,
REST_FOUNDING_FARMERS_2022-07-16,REST_FOUNDING_FARMERS,Founding Farmers,Restaurant,American,38.9017,-77.0405,,Foggy Bottom,2,20037,0.39,Metro_Center,Red,2022-07-16,Saturday,July,2022,true,false,Summer,High,true,true,false,false,true,true,false,true,31,true,4,$$,55,4.1,,
REST_FOUNDING_FARMERS_2022-07-23,REST_FOUNDING_FARMERS,Founding Farmers,Restaurant,American,38.9017,-77.0405,,Foggy Bottom,2,20037,0.43,Metro_Center,Red,2022-07-23,Saturday,July,2022,true,false,Summer,High,true,true,false,false,true,true,false,true,31,false,4,$$,56,4.1,,
